No,Sanatçı,Albüm,Şarkı Adı,Şarkı Sözleri,YouTube
41,Şebnem Ferah,Can Kırıkları,Can Kırıkları,"""Can Kırıkları""

Bu kalabalığın içinde
Yapayalnız hissetmektense
Dünyanın bir ucunda tek başımayım
Kir göstermeyen renkleriniz sizin olsun
Korkmaktansa bulanıklığın tam içinde bir başımayım

Benim belki de gizli bir bildiğim var
Elbette ağlarım, benim can kırıklarım var
Senin gördüğün, yanağımdan süzülenler
Asıl içimde, içinde yüzdüğüm bir deniz var

Bu kalabalığın içinde
Yapayalnız hissetmektense
Dünyanın bir ucunda tek başımayım
Kir göstermeyen renkleriniz sizin olsun
Korkmaktansa bulanıklığın tam içinde bir başımayım

Benim belki de gizli bir bildiğim var
Elbette ağlarım, benim can kırıklarım var
Senin gördüğün, yanağımdan süzülenler
Asıl içimde, içinde yüzdüğüm bir deniz var

Benim belki de gizli bir bildiğim var
Elbette ağlarım, benim can kırıklarım var
Senin gördüğün, yanağımdan süzülenler
Asıl içimde, içinde yüzdüğüm bir deniz var
Benim belki de gizli bir bildiğim var
Elbette ağlarım, benim can kırıklarım var
Senin gördüğün, yanağımdan süzülenler
Asıl içimde, içinde yüzdüğüm bir deniz var",EcN6XD99NGU
42,Şebnem Ferah,Can Kırıkları,Bir Kalp Kırıldığında,"""Bir Kalp Kırıldığında""

Bir oyun oynayalım mı?
Herkes açsın kalbini
Oyun oynayalım mı?

Bir oyun oynayalım mı?
Herkes söylesin adını
Oyun oynayalım mı?

Her kalp bir büyük dünya
Ve bir kalp kırıldığında
Hayata dair ne varsa
Üzerinde o dünyanın
Başlar yok olmaya

Bir kalp kırıldığında
Denizler kurur, toprak küser
Denge kalmaz o dünyada
Her kalp kırıldığında
Bir yerlerde yolculuk başlar
Mavi renkten siyahlığa
Her bir kalp kırıldığında

Bir oyun oynayalım mı?
Çocuklar gibi beraber
Oyun oynayalım mı?

Bir oyun oynayalım mı?
Kırmayalım birbirimizi
Oyun oynayalım mı?

Her kalp ayrı bir dünya
Ve bir parça kristal, aynı zamanda
Bir de bilmeyerek değil ama
Bilerek kırılmışsa
Artık acı da duymaz, başlar yok olmaya

Bir kalp kırıldığında
Denizler kurur, toprak küser
Denge kalmaz o dünyada
Her kalp kırıldığında
Yolculuk başlar mavi renkten
Siyahlığa, karanlığa
Her bir kalp kırıldığında

Bir kalp kırıldığında
Denizler kurur, toprak küser
Denge kalmaz o dünyada
Her kalp kırıldığında
Yolculuk başlar mavi renkten
Siyahlığa, karanlığa

Bir kalp kırıldığında
Denizler kurur, toprak küser
Denge kalmaz o dünyada
Her kalp kırıldığında
Yolculuk başlar mavi renkten
Siyahlığa, karanlığa
Her bir kalp kırıldığında",Nu9hjH0K7Oo
43,Şebnem Ferah,Can Kırıkları,Delgeç,"""Delgeç""

Gel, bir parçam ol kanımdan, canımdan
Gel, bir parça al ekmeğimden, suyumdan

Ben zaten düşmüşüm
Kaldırımlar yatağım olmuş
Gel, bir de sen vur
Hadi gel, bir de sen vur

Ben zaten düşmüşüm
İçim dışım korku dolmuş
Gel, bir de sen vur
Hadi gel

Nasıl olsa alıştım ben bu sert rüzgarlara
Bu sert iklimli ıssız hayata
Delgeç gibi deleceksin sen de ruhumu
Biliyorum, durma
Gel, bir de sen vur
Bir de sen vur
Gel, bir de sen vur
Bir de sen vur

Gel, bir parçam ol kanımdan, canımdan
Gel, bir parça al ekmeğimden, suyumdan

Ben zaten düşmüşüm
Kaldırımlar yatağım olmuş
Gel, bir de sen vur
Hadi gel, bir de sen vur

Ben zaten düşmüşüm
İçim dışım korku dolmuş
Gel, bir de sen vur
Hadi gel

Nasıl olsa alıştım ben bu sert rüzgarlara
Bu sert iklimli ıssız hayata
Delgeç gibi deleceksin sen de ruhumu
Biliyorum, durma
Gel, bir de sen vur
Hadi gel, bir de sen vur
Gel, bir de sen vur
Hadi gel, bir de sen vur

Nasıl olsa alıştım ben bu sert rüzgarlara
Bu sert iklimli ıssız hayata
Delgeç gibi deleceksin sen de ruhumu
Biliyorum, durma
Gel, bir de sen vur
Hadi gel, bir de sen vur
Gel, bir de sen vur
Hadi gel, bir de sen vur",LOTP4Vqe5ZE
44,Şebnem Ferah,Can Kırıkları,Geçmişe Yolculuk,"""Geçmişe Yolculuk""

Bugün kendimi kuru yapraklarla kaplı
Çıkmaz bir sokağa benzetiyorum
Sadece o sokakta yaşayanlar
Üzerimden gelip geçiyor

Bugün kendimi odalarından çoğu boş
Bazen dolan bir otel gibi hissediyorum
İçimden ne hayatlar, ne hikâyeler, ne aşklar
Geçip gidiyor

Ben böyle değildim
Ne zaman kayboldum?
Rüzgârla dans ederdim
Ne zaman savruldum?

Bir ses duydum
Geçmiş zamandan
Bir ses duydum
Küçük bir kızdan

Bir bilet istiyorum
Sadece gidiş olsun
Çocukluğun saflığına
Gidip or'da yaşamam gerek

Bilet istiyorum
Tek kişilik olsun
Yarına çıkabilmem için
Heyecanı hatırlamam gerek

Bugün kendimi parktaki bir bank gibi
Sessiz ve sabit hissediyorum
Geceleri üzerimde şehrin ışıkları
Yatıp uyuyor

Bugün kendimi tonlarca yük taşıyan
Gemilerin denizi gibi hissediyorum
Kaldırma kuvvetim var
Ama şehrin atıkları içime akıyor

Ben böyle değildim
Ne zaman kayboldum?
Rüzgârla dans ederdim
Ne zaman savruldum?

Bir ses duydum
Geçmiş zamandan
Bir ses duydum
Küçük bir kızdan

Bir bilet istiyorum
Sadece gidiş olsun
Çocukluğun saflığına
Gidip or'da yaşamam gerek

Bilet istiyorum
Tek kişilik olsun
Yarına çıkabilmem için
Heyecanı hatırlamam gerek, of

Bir bilet istiyorum
Çocukluğun saflığına

Bilet istiyorum
Tek kişilik olsun
Yarına çıkabilmem için
Heyecanı hatırlamam gerek, of",sHNExnuaXfo
45,Şebnem Ferah,Can Kırıkları,Ben Bir Mülteciyim (Güç),"""Ben Bir Mülteciyim (Güç)""

Ben bir mülteciyim
Kendi yüreğimden başka
Sığınacak yerim yok, yurdum yok
Ben bir mülteciyim
Yüreğime sığındım
Bur'da savaş çıksa bile
Ölen yok

Tüm hayallerin sonsuzluğa ve
Sona erebildiği yerdeyim
Tüm niyetlerin, bedenleri varmışçasına
Görülebildiği bir yerdeyim

Ben bir mülteciyim
Yüreğimde yaşıyorum
Esir değil, kul hiç değil
Kendimde yaşıyorum
Ben bir mülteciyim
Bur'da aslında sınır yok
Kazanmak, kaybetmek yok
Bu güçten daha büyük güç yok

Artık eminim
Herşey içimde filizlenip
İstersem büyüyor, bakmazsam çürüyor
Aşil topuğum aşktı
Başka yüreklerde mutlu olmadım, yaşayamadım
Oysa içimde ne ok var ne de atan
Ne yön ne arka, ön
İster yaşa ister sön

Ben bir mülteciyim
Yüreğimde yaşıyorum
Esir değil, kul hiç değil
Kendimde yaşıyorum
Ben bir mülteciyim
Bur'da aslında sınır yok
Kazanmak, kaybetmek yok
Bu güçten daha büyük güç yok

Ben bir mülteciyim
Kendi yüreğimden başka
Sığınacak yerim yok yurdum yok
Tüm kitapların arasında
Kurutulup saklanan
Anılarla dolu bir yerdeyim
Tüm sözcüklerin
Cümlelerden kurtulmuş gibi
İncitmeden özgür kalabildiği yerdeyim

Ben bir mülteciyim
Yüreğimde yaşıyorum
Esir değil, kul hiç değil
Kendimde yaşıyorum
Ben bir mülteciyim
Bur'da aslında sınır yok
Kazanmak, kaybetmek yok
Bu güçten daha büyük güç yok",bjLXnZMm6gI
46,Şebnem Ferah,Can Kırıkları,Sana Bilmediğin Bir Şey Söyleyemem,"""Sana Bilmediğin Bir Şey Söyleyemem""

Suyun derinliği aynıydı
Ama senin beline, benimse omuzlarıma geliyordu
Bütün yapraklar sararıp düşecekti
Ama ilk ben düştüm, kalanlar arkamdan korkuyla baktı

Bütün aşklar çok büyük olacaktı
Ama en büyük bizimkisi diyecektik
Her bir insan eşsiz olacaktı
Ama hep kendimizi en değerli zannedecektik

Çamur mu sürmek istiyorsun başkasının duygularına?
Önce senin ellerin kirlenecek
Suyla mı gidiyorsun bir başkasının yanan yüreğine?
O yürekte hep yerin olacak

Sana bilmediğin bir şey söyleyemem
Ben de hiçbir şey bilmiyorum
Ne kadar iyilik varsa, hepimiz için
Hepsini dileyip gerisine direniyorum

Çok sonraları fark edecektik
İyilik, temizlik bile göreceli olacaktı
O kadar hızlı kirlenecektik ki
Masumiyet fotoğraflarda eskiyip solacaktı

Korkuyor musun, senden farklı olan her şeyden?
Korktuğun şey kendi içinde büyüyecek
Ortak mı oluyorsun bir başkasının yalnızlığına?
Yüreğin yalnızlık nedir bilmeyecek

Sana bilmediğin bir şey söyleyemem
Ben de hiçbir şey bilmiyorum
Ne kadar iyilik varsa, hepimiz için
Hepsini dileyip gerisine direniyorum

Sana bilmediğin bir şey söyleyemem
Ben de hiçbir şey bilmiyorum
Ne kadar iyilik varsa, hepimiz için
Hepsini dileyip gerisine direniyorum

Sana bilmediğin bir şey söyleyemem
Ben de hiçbir şey bilmiyorum
Ne kadar iyilik varsa, hepimiz için
Hepsini dileyip gerisine direniyorum",7l02yyBuneE
47,Şebnem Ferah,Can Kırıkları,Çakıl Taşları,"""Çakıl Taşları""

Benim çakıl taşlarım var irili ufaklı
Kaybolduğumda yere yayıp yol yaptığım
Çakıl taşlarım var her yerden topladığım
Boşluğa düştüğümde oyunlar yaratıp oynadığım

Benim bir sözlüğüm var, unutulmuş bir dil
Oysaki içinde her şeyin anlamı gizli
Benim bir gözlüğüm var, sol camı kırıldı
Taktığım zamanlarda içini gösteren adeta

Sen hiç ""hiç"" oldun mu? Birden duruldun mu?
Bulanıkmış, berrakmış; her suyu içtin mi?
Altında ağ olmadan yerden yükseldin mi?
Tam zevkine varmışken birden yere düştün mü sen?
Düştün mü sen?
Düştün mü sen?
Düştün mü sen?

Benim hiç boyanmamış dört duvarım var
Çatlaklarından sızıp içinden geçtiğim
Benim hiç yıkılmamış duvarlarım var
Dikkatle baktığımda ardını gördüğüm adeta

Sen hiç ""hiç"" oldun mu? Birden duruldun mu?
Bulanıkmış, berrakmış; her suyu içtin mi?
Altında ağ olmadan yerden yükseldin mi?
Tam zevkine varmışken birden yere düştün mü sen?
Düştün mü sen?
Düştün mü sen?
Düştün mü sen?

Benim bir hikayem var, sonunu yazmadığım
Benim bir sevgilim var, henüz tanışmadığım
Benim umudum var, benim umudum
Benim umudum var, benim umudum

Sen hiç ""hiç"" oldun mu? Birden duruldun mu?
Bulanıkmış, berrakmış; her suyu içtin mi?
Altında ağ olmadan yerden yükseldin mi?
Tam zevkine varmışken birden yere düştün mü sen?

Sen hiç ""hiç"" oldun mu? Birden duruldun mu?
Bulanıkmış, berrakmış; her suyu içtin mi?
Altında ağ olmadan yerden yükseldin mi?
Tam zevkine varmışken birden yere düştün mü sen?
Düştün mü sen?
Düştün mü sen?
Düştün mü sen?",CAAfeDIubGM
48,Şebnem Ferah,Can Kırıkları,Zaman Geçip Gidiyor,"""Zaman Geçip Gidiyor""

Bilgi sahibi olmadan
Fikirlerle dolmuşuz
Bir yerlerde bir çift elin tuttuğu
Silahta kurşun olmuşuz

Kalem sahibi olmadan
Kılıçlar kuşanmışız
Yaşayıp yaşatmak dururken
Hem ölmüş hem katil olmuşuz

Gözlerimiz var ama görmek istemedikçe
Yüreklerimiz var ama hissetmedikçe

Hiç ıslanmadan yüzmek
Ne kadar mümkünse
Hiç yanmadan ateşle
Ne kadar oynanabilirse

İçinde yaşamak varken
Teğet geçmek dünyaya
İşte bana öyle geliyor
Çünkü zaman geçip gidiyor

Avuçlarında hissetmek varken
Birinin ellerini
Sıkıca tutup sevmekten
Güvenmekten korkar olmuşuz

Kapıları kapatmak yetmemiş
Kepenkler indirmişiz
Bir küçük asma kilitle
İnsanı insan şerrinden sakınmışız

Gözlerimiz var ama görmek istemedikçe
Yüreklerimiz var ama hissetmedikçe

Hiç ıslanmadan yüzmek
Ne kadar mümkünse
Hiç yanmadan ateşle
Ne kadar oynanabilirse

İçinde yaşamak varken
Teğet geçmek dünyaya
İşte bana öyle geliyor
Çünkü zaman geçip gidiyor

Zamanımız var ama korkmayı sürdürdükçe
Ruhumuz var, teslim etmeden önce

Hiç ıslanmadan yüzmek
Ne kadar mümkünse
Hiç yanmadan ateşle
Ne kadar oynanabilirse

Içinde yaşamak varken
Teğet geçmek dünyaya
İşte bana öyle geliyor
Çünkü zaman geçip gidiyor",8ESGvxV9LzQ
49,Şebnem Ferah,Can Kırıkları,Hoşçakal,"""Hoşçakal""

Seni ararken kendimi kaybetmekten yoruldum
Bulduğumu zannettiğimde kendimden ayrı düştüm
Bu garip bir veda olacak çünkü aslında hep içimdesin
Ne kadar uzağa gitsem de gittiğim her yerde benimlesin
Söylenecek söz yok

Gidiyorum ben
Hoşça kal
Hoşça kal
Hoşça kal
Hoşça kal
Ben bir kısrak gibi gelmişim dünyaya
Şahlanıp koşmak içimde var
Hoşça kal

Biraz su, biraz yeşillik
Her yer benim evimdir
Taşırım dünyayı sırtımda
Her dil benim dilimdir
Ama söylenecek söz yok
Gidiyorum ben

Hoşça kal
Hoşça kal
Hoşça kal
Hoşça kal
Ben bir kısrak gibi gelmişim dünyaya
Şahlanıp gitmek içimde var
Hoşça kal

Hoşça kal
Hoşça kal
Hoşça kal
Hoşça kal
Ben bir kısrak gibi gelmişim dünyaya
Şahlanıp gitmek içimde var
Hoşça kal",diKKVF9fvkI
50,Şebnem Ferah,Benim Adım Orman,Merhaba,"""Merhaba""

Eğer olduğun gibi geleceksen
Olduğum gibi seveceksen
Merhaba, zamanın ellerinden
Merhaba, tut vakit kaybetmeden

Dünyanın bütün günlerinden
En güzel günü bugün olsun

Hayattan, hayallerinden, istediğinden bahset
Düşünden, düşündüklerinden hepsi olmuş farzet

Eğer olduğun gibi geleceksen
Olduğun gibi görüneceksen
Merhaba, zamanın gözlerinden
Merhaba, bak vakit kaybetmeden

Dünyanın bütün nehirlerinden
Sözlerimiz, seslerimiz aksın
Hayattan, hayallerinden, istediğinden bahset
Düşünden, düşündüklerinden hepsi olmuş farzet

Tam olduğun gibi, tam göründüğün gibi
Tam hissettiğin gibi, istediğin gibi

Hayattan, hayallerinden, istediğinden bahset
Düşünden, düşündüklerinden hepsi olmuş farzet

Hayattan, hayallerinden, istediğinden bahset
Düşünden, düşündüklerinden hepsi olmuş farzet",I2Uz1oUM9vw
51,Şebnem Ferah,Benim Adım Orman,Benim Adım Orman,"""Benim Adım Orman""

İçimden geçeceksen eğer
Bur'dayım, yürü üzerime
Ateş, şiir, hepsi benim, hazırım ben
Gel, gel, gel, gel

İstersen dinlen içimde
Köklerimden bir şarkı var dilimde
Çıplak ayaklarla gez her köşemde
Gel, gel, gel, gel

Benim adım orman
Örtü yaptım yapraklardan
Serdim herkesin üstüne
Biz hepimiz uyuduk, bittik yalnızlıktan

Yeşildim olabildiğince
Yaşlandım maviye değince
Hem gündüz hem gece aklına düşünce
Gel, gel, gel, gel

Benim adım orman
Örtü yaptım yapraklardan
Serdim herkesin üstüne
Sür yüzünü yüzüme, korkma yalnızlıktan

Benim adım orman
Örtü yaptım yapraklardan
Serdim herkesin üstüne
Sür yüzünü yüzüme, korkma yalnızlıktan",tcLuwHwqqpM
52,Şebnem Ferah,Benim Adım Orman,Yalnız,"""Yalnız""

Kim bilir neler neler geçti başından
Kimse böyle yalnız olamaz
Anlat birer birer, tut ellerimden
Kimse böyle küskün olamaz

Çizgi çizgi yüzünde, gölgeli gözlerinde
Ağır sessizliğinde neler neler var?
Ne hikayeler var?

Her bahar öncesinde kardelene dönüşmeyi
Kopmayı, koparılmayı anlat
Karanlıkla dans etmeyi, sonra ölmeye yatmayı
Kahpe dünyayı anlat, anlat

Titreyen çenende dünya devrilmiş
Kimse böyle üzgün olamaz
Gözlerin dolu dolu, hayatın da öyle
Kimse böyle yorgun olamaz

Hep göz pınarında duran o gözyaşında
Akmaya hazırlanan neler neler var?
Ne hikayeler var?

Her bahar öncesinde kardelene dönüşmeyi
Kopmayı, koparılmayı anlat
Karanlıkla dans etmeyi, sonra ölmeye yatmayı
Kahpe dünyayı anlat, anlat

Uzaklara dalıp gitme
Gözlerin de dolmasın
Kimse böyle yalnız olmasın

Her bahar öncesinde kardelene dönüşmeyi
Kopmayı, koparılmayı anlat
Karanlıkla dans etmeyi, sonra ölmeye yatmayı
Kahpe dünyayı anlat, anlat",90Mq7vf1J0A
53,Şebnem Ferah,Benim Adım Orman,İstiklal Caddesi Kadar,"""İstiklal Caddesi Kadar""

Alnımdan akan ter
Sana hiç değmedi
Gozümden damlayan yaş
Denizi bulmadı

Bir sokak gördüm rüyalarımda gecelerce
Hiç sana çıkmadı
Sadece yarım saat tutuştuk el ele
O saat durmadı

Düşünüyorum
Ne kadar sevmiş olabilirim
Düşünüyorum
Sen, ben, gece ve bir yol
Başka bir şey
Yok elimde, hafızamda
Düşünüyorum
Ne kadar yer etmiş olabilir

İstiklal Caddesi kadar
İstiklal Caddesi kadar

Anları birer birer
Topladım, sakladım
Tarihin ortasında
Gelecek aradım

Hücreme girdin, dokundun hücrelerime
Buluttum, damladım
Cümleler kaçtı, dağıldı dört bir tarafa
Sadece noktayım (Noktayım, noktayım, noktayım)

Düşünüyorum
Ne kadar sevmiş olabilirim
Düşünüyorum
Sen, ben, gece ve bir yol
Başka bir şey
Yok elimde, hafızamda
Düşünüyorum
Ne kadar yer etmiş olabilir

İstiklal Caddesi kadar
İstiklal Caddesi kadar

Düşünüyorum
Ne kadar sevmiş olabilirim
Düşünüyorum
Sen, ben, gece ve bir yol
Başka bir şey
Yok elimde, hafızamda
Düşünüyorum
Ne kadar yer etmiş olabilir

İstiklal Caddesi kadar
İstiklal Caddesi kadar",362o6ZpQumE
54,Şebnem Ferah,Benim Adım Orman,Eski,"""Eski""

Eski bir şiir
Eski bir hikaye
Eski bir ezgi
Var aklımda

Herkes hayattaydı
Bildiğim herkes
Hiç korku yoktu
Yoktu aklımda

Eski bir kitap
Eskimiş resimler
Eski bir şarkı
Var aklımda

Sevdiğim birini
Hiç kaybetmemiştim
Kaybetmek yoktu
Yoktu aklımda

Sıradan, basit bir günün uğruna
Hiç dua etmemiş, hiç yalvarmamıştım

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Büyürken eskimeyen
Eskise de değerlenen

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Yoksa sen de sadece
Öyle duranlardan mısın?

Eski bir oyun
Eski bir sokakta
Eski bir hırka
Var omzumda

Aşka inanırdım
Her hücremle
Hiçbir yük yoktu
Yoktu omzumda

Sıradan, güzel bir günün uğruna
Hiç dua etmemiş, henüz yalvarmamıştım

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Büyürken eskimeyen
Eskise de değerlenen

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Yoksa sen de sadece
Öyle duranlardan mısın?

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Büyürken eskimeyen
Eskise de değerlenen

Sen nasıl başardın?
Yüz yıllık ağaç gibisin
Nasıl böyle kaldın?
Yoksa sen de sadece
Öyle duranlardan mısın?",D7vJVklc0eI
55,Şebnem Ferah,Benim Adım Orman,Mahalle,"""Mahalle""

Kalbimin topraklarına mezarlar kazdın
Her birinin üstüne gökdelenler koydun
Aklımın yapraklarını bir bir kopardın
Binaların üst katlarına süslü teraslar yaptın

Geçer gider sandım
Geçmedi gitti

Kurduğun bu mahalle
Haritadan silindi
Kurduğun bu mahalle
Haritadan silindi

Aklımın sokaklarını arar sorarken
Kim bilir ben kaç kalp kırdım
Zamanın istasyonunu trenler geçerken
Kim bilir kaç kez kaçırdım

Kaç kez kaçırdım
Kaç kez kaçırdım
Kaç kez kaçırdım

Uykumun masallarını her gece anlattın
Dinledim defalarca, seni kahraman yaptım
Kurduğun mahallenin her sokağında
Utanmadım, gecelerce sövdüm saydım

Geçer gider sandım
Geçmedi gitti

Kurduğun bu mahalle
Haritadan silindi
Kurduğun bu mahalle
Haritadan silindi

Aklımın sokaklarını arar sorarken
Kim bilir ben kaç kalp kırdım
Zamanın istasyonunu trenler geçerken
Kim bilir kaç kez kaçırdım

Kaç kez kaçırdım
Kaç kez kaçırdım
Kaç kez kaçırdım

Aklımın sokaklarını arar sorarken
Kim bilir ben kaç kalp kırdım
Zamanın istasyonunu trenler geçerken
Kim bilir kaç kez kaçırdım

Kaç kez kaçırdım
Kaç kez kaçırdım
Kaç kez kaçırdım",FwQPKoZGcRg
56,Şebnem Ferah,Benim Adım Orman,Ateşe Yakın,"""Ateşe Yakın""

Bir mum yaktığım o akşam seni andım
Korkuyu savdığım her anı hatırladım

Gittiğin günden bugüne her şey aynı, sadece
Çok özledim, her kahraman gibi erken gittin

Gördüğüm en son ışık, parıltı sendin
Hep parlardın
Dinlendiğin o sarmaşık sonra soldu
Hep uçtun ateşe yakın

Bir kayık, iki kürek
Ay parlak, asil yürek
Biraz rakı, biraz azık
Belki hayat bu demek

Göçtüğün gün ben
Tesadüfen düşümde gördüm veda ederken

Çok özledim, her kahraman gibi erken gittin

Gördüğüm en son ışık, parıltı sendin
Hep parlardın
Dinlendiğin o sarmaşık sonra soldu
Hep uçtun ateşe yakın

Gördüğüm en son ışık, parıltı sendin
Hep parlardın
Dinlendiğin o sarmaşık sonra soldu
Hep uçtun ateşe...

Gördüğüm en son ışık, parıltı sendin
Hep parlardın
Dinlendiğin o sarmaşık sonra soldu
Hep uçtun ateşe yakın",kQ4bpBoz63o
57,Şebnem Ferah,Benim Adım Orman,Serapmış,"""Serapmış""

Güneş batınca fark ettim
Bütün hayallerim caddeye uzanmış
Tüm doğru bildiklerim asfalta akmış
Hepsi serapmış

Birileri var önümde, gerimde
Her yanımda, yüreğimde
Kalabalığın içinde, dışında
Her yerde, yalnızlığımda, ah

Karaya oturmuş eski bir gemide
Gölgesinden sıkılmış söğütte
Baktığım her yerde, her aynada
Mutluluktan sürülmüş
Sanki yasaklanmış biri var

Ellerinden içilmiş şarapta
Gözlerinden okunmuş şiirde
Baktığım her yerde, her aynada
Mutluluktan sürülmüş
Sanki yasaklanmış biri var, ah

Güneş batınca fark ettim
Bütün hayatım caddeye uzanmış
Yolun tam yarısında asfalta akmış
Her şey serapmış

Birileri var önümde, gerimde
Her yanımda, yüreğimde
Kalabalığın içinde, dışında
Her yerde, yalnızlığımda, ah

Karaya oturmuş eski bir gemide
Gölgesinden sıkılmış söğütte
Baktığım her yerde, her aynada
Mutluluktan sürülmüş
Sanki yasaklanmış biri var

Ellerinden içilmiş şarapta
Gözlerinden okunmuş şiirde
Baktığım her yerde, her aynada
Mutluluktan sürülmüş
Sanki yasaklanmış biri var",KsPjyhMPolA
58,Şebnem Ferah,Benim Adım Orman,İnsanlık,-,n1U59DDsAd0
59,Şebnem Ferah,Benim Adım Orman,Bazı Aşklar,"""Bazı Aşklar""

En son gördüğüm rüya
En son yazdığım şarkı

Hepsini sana anlatamazsam
Hepsini sana söyleyemezsem
Hepsini seninle paylaşamazsam
Eğer sen duymazsan

Yarım kalırlar
Yetim kalırlar
Küskün kalırlar
Aynı sen ve ben gibi

Sen ben bitmeyen şiir
Sen ben bitmeyen şarkı

Boynunun omzunla buluştuğu
Hem serin hem ılık çukurdan
Yavaş yavaş yudum yudum su içtim
Sonra kayboldum

Bazı aşklar
Yarım kalırlar
Küskün kalırlar
Aynı sen ve ben gibi

Bazı aşklar
Yarım kalırlar
Küskün kalırlar
Aynı sen ve ben gibi",5gqcp0VWMH4
60,Şebnem Ferah,Benim Adım Orman,Uçurtma,"""Uçurtma""

Gelmişim, geçmişim
Birden, aniden buharlaştı
Bol kitaplı bir odada
Dünya yavaşça önümde uzandı

Ben en güzel şarkımı henüz yazmadım
Ben en güzel şarkımı henüz yazmadım

Yel değirmeni, rüzgarla
Rüzgar, uçurtmayla geldi
Uçurtma, bir çocuğun gözünden
Dünyayı korkuyla seyretti

Kaldırımda bir güvercin
Birden yüz üstü yere uzandı
Kundağında kundaklanan bir ruh
Vicdanlardan göğe taştı

Ben en güzel şarkımı henüz yazmadım
Ben en güzel şarkımı henüz yazmadım

Yel değirmeni, rüzgarla
Rüzgar, uçurtmayla geldi
Uçurtma, bir çocuğun gözünden
Dünyayı korkuyla seyretti

Ben en güzel şarkımı henüz yazmadım
Ben en güzel şarkımı henüz yazmadım

Yel değirmeni, rüzgarla
Rüzgar, uçurtmayla geldi
Uçurtma, bir çocuğun gözünden
Dünyayı korkuyla seyretti

Yel değirmeni, rüzgarla
Rüzgar, uçurtmayla geldi
Uçurtma, bir çocuğun gözünden
Dünyayı korkuyla seyretti",eCnlOIoOsyM
61,Şebnem Ferah,Od,Kalbim Mezar,"""Kalbim Mezar""

Şimdi uyku vakti geldi, bir gün daha bitti
Bazen bir küçük prens, bazen bir kibritçi kız
Bir an, bin yıl; bir söz, bin ah
Aklım seyyah, rengim siyah oldu
Bazen bir küçük prens, bazen de bir kibritçi kız

Surlar ardında ışıl ışıl ağaçlı bulvar
Kime sorsan gösterir yerde bir yükselti var
Her şeyi gömdüm, kalbim mezar

Şimdi uyku vakti geldi, bir gün daha bitti
Bazen bir küçük prens, bazen bir kibritçi kız
Bir an, bin yıl; bir söz, bin ah
Aklım seyyah, rengim siyah oldu
Bazen bir küçük prens, bazen de bir kibritçi kız

Surlar ardında ışıl ışıl ağaçlı bulvar
Kime sorsan gösterir yerde bir yükselti var
Her şeyi gömdüm, kalbim mezar

Surlar ardında ışıl ışıl ağaçlı bulvar
Kime sorsan gösterir yerde bir yükselti var
Her şeyi gömdüm, kalbim mezar",1v_z0C6X50A
62,Şebnem Ferah,Od,Birileri Var,"""Birileri Var""

Sen hiç korkma, hiç utanma
Neysen öyle ol
Sen vazgeçme, sinme, küsme
Böyle masum kal

Birileri var, birileri var
Dünyanın çivisine, bugünün gerisine sahip çıkan birileri var
Birileri var
Masumun nefesini koruyan birileri var
Yeter ki hep böyle kal

Ne bugünden ne yarından ne de dünden kork
Bir varmışsın, bir yokmuşsun
Evvel yarın ol

Hâlâ birileri var, birileri var
Ruhunu, şerefini zalimin gölgesine satmayan birileri var
Birileri var
Masumun nefesini koruyan birileri var
Yeter ki hep böyle kal

Hâlâ birileri var, birileri var
Dünyanın çivisine, bugünün gerisine sahip çıkan birileri var
Birileri var
Masumun nefesini koruyan birileri var
Yeter ki hep böyle kal",XKEGPRscOFE
63,Şebnem Ferah,Od,Od,"""Od""

Hangi gündeyiz, hangi yılda?
Hangi evdeyim, hangi oda?

Zamanın dışına düştüm, dünyanın peşine
Hangi gündeyiz, hangi yılda?
Saat kaç oldu, sabah mı?
Aydınlık mıdır, karanlık mı?

Sönmeyen bir oda düştüm
Denizler dökseler
Hissetmez oldum
Yandım mı?

Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere
Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere

Hangi gündeyiz, hangi yılda?
Hangi şehirde, hangi yolda?

Zamanın dışına düştüm, her yerim yara bere
Hangi gündeyiz, hangi yılda?
Üstümde toprak, altımda gök
Avcumda tırnak, ruhumda kök

Hayattan bi' yere düştüm
Her taraf kan revan
Önce kalp durdu
Sonra zaman

Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere
Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere
Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere
Taş üstünde taş yok, küller küllere
Omzumda baş yok, kafa tuttum mahşere",yjMjul9ch0s
